2023-10-20 02:27:12,744 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:27:17,189 | root | INFO | New connection <('127.0.0.1', 55579)>:S85 |(Server.py:60)
2023-10-20 02:27:17,189 | root | INFO | new Thread ('127.0.0.1', 55579) |(Server.py:105)
2023-10-20 02:27:34,139 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.0 1 -c 1 ) |(Server.py:140)
2023-10-20 02:32:09,532 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:32:13,181 | root | INFO | New connection <('127.0.0.1', 55664)>:S85 |(Server.py:60)
2023-10-20 02:32:13,181 | root | INFO | new Thread ('127.0.0.1', 55664) |(Server.py:105)
2023-10-20 02:32:40,679 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.0 3 -c 12) |(Server.py:159)
2023-10-20 02:33:14,632 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 12 -c 1200) |(Server.py:159)
2023-10-20 02:34:21,320 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:34:25,178 | root | INFO | New connection <('127.0.0.1', 55702)>:S85 |(Server.py:60)
2023-10-20 02:34:25,178 | root | INFO | new Thread ('127.0.0.1', 55702) |(Server.py:105)
2023-10-20 02:34:28,658 | root | INFO | [/Broadcast] (/1) |(Server.py:160)
2023-10-20 02:34:45,887 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 7 -c 1) |(Server.py:160)
2023-10-20 02:35:25,203 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:37:35,849 | root | INFO | New connection <('127.0.0.1', 55754)>:S85 |(Server.py:60)
2023-10-20 02:37:35,849 | root | INFO | new Thread ('127.0.0.1', 55754) |(Server.py:105)
2023-10-20 02:37:53,637 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 4 -c 12) |(Server.py:160)
2023-10-20 02:38:35,984 | root | INFO | New connection <('127.0.0.1', 55773)>:S85 |(Server.py:60)
2023-10-20 02:38:35,984 | root | INFO | new Thread ('127.0.0.1', 55773) |(Server.py:105)
2023-10-20 02:38:50,216 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 4 -c 12) |(Server.py:160)
2023-10-20 02:39:29,586 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:39:31,394 | root | INFO | New connection <('127.0.0.1', 55788)>:S85 |(Server.py:60)
2023-10-20 02:39:31,394 | root | INFO | new Thread ('127.0.0.1', 55788) |(Server.py:105)
2023-10-20 02:43:38,082 | root | INFO | New connection <('127.0.0.1', 55851)>:S85 |(Server.py:60)
2023-10-20 02:43:38,082 | root | INFO | new Thread ('127.0.0.1', 55851) |(Server.py:105)
2023-10-20 02:43:40,537 | root | INFO | [/Broadcast] (/c) |(Server.py:160)
2023-10-20 02:43:44,563 | root | INFO | [/Broadcast] (/status) |(Server.py:160)
2023-10-20 02:45:21,492 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:45:23,396 | root | INFO | New connection <('127.0.0.1', 55885)>:S85 |(Server.py:60)
2023-10-20 02:45:23,397 | root | INFO | new Thread ('127.0.0.1', 55885) |(Server.py:105)
2023-10-20 02:45:42,042 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c 12000) |(Server.py:161)
2023-10-20 02:47:50,179 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:47:51,788 | root | INFO | New connection <('127.0.0.1', 55938)>:S85 |(Server.py:60)
2023-10-20 02:47:51,788 | root | INFO | new Thread ('127.0.0.1', 55938) |(Server.py:105)
2023-10-20 02:48:10,830 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 -c 32000) |(Server.py:161)
2023-10-20 02:48:31,399 | root | INFO | New connection <('127.0.0.1', 55958)>:S85 |(Server.py:60)
2023-10-20 02:48:31,399 | root | INFO | new Thread ('127.0.0.1', 55958) |(Server.py:105)
2023-10-20 02:48:36,530 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c 32000) |(Server.py:161)
2023-10-20 03:01:56,775 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:02:24,729 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:03:58,642 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:04:01,566 | root | INFO | New connection <('127.0.0.1', 56301)>:S85 |(Server.py:61)
2023-10-20 03:04:01,566 | root | INFO | new Thread ('127.0.0.1', 56301) |(Server.py:106)
2023-10-20 03:04:20,992 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 3 -c 7 ) |(Server.py:162)
2023-10-20 03:04:55,327 | root | DEBUG | Console.Thread $Start |(Server.py:89)
2023-10-20 03:04:58,933 | root | INFO | New connection <('127.0.0.1', 56323)>:S85 |(Server.py:61)
2023-10-20 03:04:58,933 | root | INFO | new Thread ('127.0.0.1', 56323) |(Server.py:106)
2023-10-20 03:05:14,410 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.1 3 -c 7 ) |(Server.py:162)
2023-10-20 03:05:57,628 | root | DEBUG | Console.Thread $Start |(Server.py:89)
